Grades,Sports,FamIncome,SES,WorkAge,HmwkTime,Female,Academic,Remedial,Advanced
3,1,1,1,14,3,1,0,1,0
3,0,4,2,14,5,1,1,0,0
1,1,3,2,14,4,0,0,0,0
1,1,2,2,16,4,1,0,1,0
3.5,0,5,2,17,6,1,0,0,0
2.5,1,1,1,21,4,1,0,1,1
2.5,0,1,1,16,3,0,1,0,0
2,0,2,1,14,4,1,1,1,0
3,1,4,2,14,7,0,1,1,1
3,1,6,3,14,4,0,1,0,0
2.5,0,1,1,14,6,1,1,0,0
2.5,0,4,2,14,3,0,0,0,0
2.5,0,4,1,17,3,1,1,1,0
4,0,4,3,16,3,1,1,0,1
2.5,0,4,2,14,1,0,0,1,0
3,0,2,1,15,3,0,0,1,1
3.5,0,5,3,15,5,1,1,1,0
3.5,1,5,2,12,7,0,1,0,1
3,1,6,3,13,6,0,1,0,1
3,1,4,1,16,4,1,0,0,0
3.5,0,4,2,21,4,1,0,0,0
2.5,0,2,2,15,7,1,1,0,0
3.5,0,1,1,14,5,1,0,0,0
3,1,6,2,12,4,0,1,1,1
3.5,0,7,3,12,6,0,1,0,1
3,1,4,1,11,5,0,1,1,1
4,0,3,2,16,6,1,0,0,1
2,0,5,2,11,5,0,0,0,0
3.5,0,7,3,16,4,1,1,0,1
3.5,1,5,1,15,7,0,0,0,1
2.5,0,4,2,16,5,1,0,0,0
2.5,0,7,3,17,6,1,1,0,0
2.5,1,5,3,14,4,0,1,1,0
3,0,7,2,16,5,1,1,1,0
4,1,6,3,13,7,0,1,0,1
2.5,1,3,3,13,7,1,1,0,0
3,0,7,3,15,4,0,1,0,0
3,1,5,2,15,2,0,0,0,0
2.5,1,5,3,11,6,0,1,0,1
4,1,3,2,15,6,1,0,0,0
3,0,5,1,18,1,1,0,0,0
2.5,0,1,1,21,4,1,1,1,0
2.5,1,5,2,16,4,0,0,0,0
2.5,1,2,1,15,4,0,0,1,0
2.5,1,2,1,16,4,1,0,1,0
2.5,0,5,3,16,4,0,0,0,0
3,0,7,2,16,1,1,0,1,0
3,0,6,2,15,5,1,0,0,0
3.5,1,5,3,16,5,1,1,0,1
3.5,0,5,2,15,6,1,0,0,0
4,1,1,1,11,7,1,1,0,1
