WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
989910,1,0,0,13,8,2,1,0,1,57,0,6,5798,0,0,1,1,0,0.23
989912,1,0,0,12,11,6,0,1,0,63,1,2,17,0,0,0,1,0,0.27
989913,1,0,0,12,11,4,0,0,1,25,0,7,131,0,0,1,0,0,4.48
989914,1,0,0,12,1,4,1,1,0,66,0,5,29,1,0,1,0,0,0.06
989916,0,1,0,10,4,2,0,0,1,87,0,3,64,1,0,1,0,0,0.51
989919,0,0,0,11,4,6,0,0,0,36,0,7,54,1,1,0,0,1,0.41
989920,1,0,0,14,7,6,0,0,0,76,0,2,29,0,0,1,0,0,0.22
989921,1,0,0,12,5,3,0,0,1,66,0,5,92,0,0,1,1,0,0.07
989922,1,0,0,14,5,5,0,0,0,68,0,2,42,1,0,1,0,0,0.61
989923,1,0,0,12,5,7,0,1,0,52,0,3,16,0,0,0,1,0,0.11
989925,0,0,0,10,5,4,0,0,1,47,0,2,36,0,0,0,0,0,0.43
989927,1,0,0,12,8,3,1,0,0,48,2,4,14409,0,0,1,,0,0.36
989928,1,0,0,12,1,5,1,0,0,64,0,7,35,0,0,1,0,0,0.06
989930,1,0,0,9,3,3,0,0,0,66,0,2,31,0,0,1,0,0,0.33
989931,1,0,0,12,7,2,1,0,1,65,0,4,17,0,0,1,1,0,0.53
989932,1,0,0,12,7,6,1,1,0,59,0,3,18,0,0,1,0,0,0.46
989934,1,0,0,13,14,1,1,0,1,67,0,8,1378,0,0,1,0,0,0.64
989937,1,0,0,9,5,6,1,1,0,68,0,2,20,0,0,1,0,0,0.27
989939,0,1,0,10,3,3,0,0,1,55,2,2,59,1,0,0,,0,1.41
989940,1,0,0,13,8,5,0,0,0,68,0,2,29,,0,1,,0,0.15
989944,1,0,0,13,10,3,1,0,1,39,2,7,41,0,0,1,0,0,2.61
989946,0,0,0,12,11,3,0,0,1,44,1,2,7707,0,0,1,0,0,3.1
989947,1,0,0,12,9,2,1,0,0,39,0,3,17,0,0,1,,0,0.45
989951,1,0,0,12,5,3,1,1,0,,0,2,37,0,0,0,1,0,0.35
989953,1,0,0,13,13,5,0,1,0,60,1,2,36,0,0,1,1,0,0.59
989954,1,0,0,9,5,6,1,0,0,67,0,2,40,0,0,1,0,0,0.96
989956,1,0,0,9,4,4,0,1,0,55,1,6,14,1,0,0,,0,0.11
989960,1,0,0,12,6,6,0,1,0,80,0,3,2321,0,0,1,0,0,0.14
989964,1,0,0,10,13,2,1,0,0,55,0,3,18,0,0,1,,0,1.43
989965,1,0,0,10,4,4,1,0,1,65,0,2,34,0,0,1,,0,0.1
989966,1,0,0,11,3,1,1,0,1,55,0,2,27,0,0,1,,0,0.15
989968,1,0,0,12,11,1,1,0,1,63,0,5,34,0,0,1,0,0,0.69
989969,1,0,0,11,3,4,1,0,1,47,0,7,201,0,0,1,,0,0.23
989970,1,0,0,13,5,6,0,1,0,41,3,4,29,0,1,1,0,0,0.43
989972,0,0,1,13,8,5,1,0,1,37,1,7,21,0,0,1,1,0,0.5
989973,1,0,0,13,6,4,1,0,1,43,0,2,28,0,0,1,,0,1.14
989975,1,0,0,14,8,4,1,0,1,75,0,4,66,0,0,1,1,0,0.32
989976,1,0,0,15,6,2,1,0,1,53,1,7,18,0,0,1,,0,0.06
989979,1,0,0,14,5,5,1,0,0,84,0,2,54,0,0,0,,0,0.09
989982,1,0,0,8,2,4,1,0,0,33,2,4,29,0,1,0,0,0,2.18
989983,1,0,0,11,3,4,1,1,0,52,1,2,39,1,0,1,1,0,0.09
989984,0,1,0,12,7,6,0,0,1,46,3,2,476,0,0,1,1,0,1.19
989990,1,0,0,13,11,5,0,1,0,63,0,3,24,,0,0,0,0,0.56
989993,1,0,0,12,5,5,0,1,0,57,0,3,54,0,0,0,,0,0.11
989994,0,1,0,12,8,3,1,0,1,39,4,2,19,0,0,1,,0,1.15
989995,1,0,0,13,13,6,0,1,0,64,0,2,20,0,0,1,0,0,0.29
989996,1,0,0,11,5,7,0,1,0,65,0,2,39,0,0,1,0,1,0.13
