ID,VotedFor,PresVote,PartyID,Age,FamIncome,Female,White,FT.Bush,FT.Clinton,FT.Perot
3422,Clinton,2,1,26,17,1,White,30,85,60
3423,Clinton,2,1,53,20,1,White,72,85,70
3424,Clinton,2,5,40,24,1,White,30,85,85
3425,Clinton,2,1,58,22,1,White,15,85,25
3426,Perot,3,3,32,20,1,White,60,60,85
3427,Perot,3,7,53,9,0,White,40,50,60
3428,Clinton,2,2,37,21,1,Non-White,0,60,40
3429,Bush,1,7,39,19,0,White,85,0,0
3430,Clinton,2,2,29,21,0,Non-White,60,60,50
3431,Bush,1,2,35,20,0,White,85,40,0
3433,Bush,1,7,27,18,1,White,70,0,30
3434,Bush,1,6,65,21,0,White,70,30,15
3435,Clinton,2,4,47,16,0,White,70,60,50
3436,Clinton,2,3,29,19,1,White,30,85,60
3437,Clinton,2,2,65,12,0,White,40,60,40
3438,Clinton,2,2,38,21,1,White,15,40,0
3439,Bush,1,5,55,24,1,White,60,35,60
3440,Bush,1,6,20,3,1,White,85,30,15
3441,Perot,3,6,68,16,0,White,85,60,50
3444,Bush,1,6,39,21,0,White,60,30,0
3445,Clinton,2,1,23,1,1,Non-White,0,60,0
3446,Clinton,2,1,46,9,1,Non-White,50,60,50
3447,Perot,3,3,27,16,0,White,0,70,100
3449,Perot,3,2,23,19,0,White,40,60,50
3451,Perot,3,3,30,20,0,White,60,70,70
3455,Clinton,2,4,55,19,1,White,60,40,85
3456,Clinton,2,2,22,13,1,White,40,70,30
3460,Clinton,2,1,48,17,1,White,0,25,0
3461,Clinton,2,5,18,13,1,White,50,70,40
3462,Bush,1,7,31,22,0,White,70,40,50
3464,Bush,1,7,64,21,0,White,100,50,0
3466,Perot,3,5,53,13,1,White,50,10,75
3467,Bush,1,5,20,15,0,White,15,50,70
3471,Clinton,2,1,37,15,1,White,15,85,40
3473,Clinton,2,4,48,15,1,Non-White,50,85,70
3476,Bush,1,6,51,22,0,White,60,30,60
3477,Perot,3,5,37,17,1,White,40,60,15
3478,Bush,1,6,53,19,1,White,60,30,70
3479,Bush,1,7,74,19,1,White,70,0,0
3481,Bush,1,7,34,20,0,White,70,30,30
3482,Bush,1,6,43,22,0,White,85,60,70
3484,Bush,1,6,26,9,0,White,70,0,85
3485,Clinton,2,2,67,15,1,White,50,70,30
3486,Clinton,2,3,31,4,0,White,30,70,40
3489,Bush,1,7,51,20,0,White,85,0,0
3490,Clinton,2,2,47,13,0,Non-White,50,60,40
3491,Clinton,2,2,71,14,1,White,40,85,60
3492,Bush,1,5,47,17,1,White,70,10,50
3495,Clinton,2,3,29,19,0,White,0,60,30
3499,Bush,1,7,21,15,0,White,85,0,0
3502,Clinton,2,1,57,6,1,Non-White,15,85,60
3503,Bush,1,6,37,17,1,White,85,40,30
3505,Clinton,2,2,57,11,0,White,60,70,50
3507,Bush,1,4,37,21,1,Non-White,70,85,50
3508,Bush,1,7,20,2,1,White,90,30,85
3509,Clinton,2,2,39,7,0,White,30,60,50
3510,Perot,3,6,25,10,0,White,70,60,50
3511,Bush,1,7,35,10,1,White,85,15,40
3513,Clinton,2,2,44,16,0,White,50,70,60
3514,Bush,1,7,31,18,0,White,80,40,40
3515,Bush,1,5,72,18,0,White,85,50,60
3516,Clinton,2,1,26,6,1,Non-White,15,70,0
3517,Bush,1,5,34,17,1,White,70,40,15
3522,Clinton,2,3,20,9,1,White,85,85,100
3523,Clinton,2,1,71,11,0,White,30,85,50
3524,Clinton,2,3,53,19,0,Non-White,15,60,0
3525,Clinton,2,1,35,19,1,Non-White,30,50,30
3526,Bush,1,6,36,20,1,White,85,40,0
3527,Bush,1,6,81,15,0,White,60,50,30
3529,Clinton,2,3,21,6,1,Non-White,30,70,70
3531,Clinton,2,6,27,21,1,White,70,60,50
3532,Bush,1,5,30,22,0,White,85,40,0
3533,Perot,3,4,28,21,1,White,85,40,70
